Name;Name_fr;Definition
Inclusiveness;Équité;Favorise l'inclusion et l'équité de tous les utilisateurs
Environmental sustainability;Écologie;Minimise l'impact environnemental
Privacy;Vie privée;Préserve la vie privée et les informations personnelles des utilisateurs
Security of supply;Sécurité d'approvisionnement;Répond aux besoins énergétiques primaires et nécessaires de l'utilisateur
Well-being;Confort;Répond aux demandes énergétiques de confort (au delà des besoins primaires)
Affordability;Accessibilité financière;Offre des services accessibles financièrement aux utilisateurs
